epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1944.97,0.54893,0.39251,0.83258,0.9264,0.97121,0.99208,0.85911,0.55762,0.32701,0.92821,0.001189,0.001189,0.001189
91,1961.13,0.52149,0.34406,0.81336,0.92669,0.97198,0.99208,0.85389,0.56931,0.33034,0.92946,0.00109,0.00109,0.00109
92,1978.02,0.50582,0.32509,0.81821,0.93795,0.96076,0.99208,0.84269,0.541,0.32598,0.92643,0.000991,0.000991,0.000991
93,1996.78,0.51859,0.33784,0.81821,0.95987,0.95564,0.99208,0.85177,0.51966,0.3236,0.92429,0.000892,0.000892,0.000892
94,2017.98,0.5232,0.33362,0.81338,0.93869,0.98023,0.99208,0.86378,0.51772,0.32061,0.92464,0.000793,0.000793,0.000793
95,2040.61,0.50479,0.32379,0.81503,0.93474,0.99553,0.995,0.8571,0.56826,0.32143,0.93205,0.000694,0.000694,0.000694
96,2065.7,0.50255,0.32218,0.81406,0.93776,0.9953,0.995,0.85366,0.58121,0.31806,0.93421,0.000595,0.000595,0.000595
97,2087.22,0.53306,0.3229,0.83341,0.93991,0.99388,0.995,0.85583,0.56495,0.31612,0.93132,0.000496,0.000496,0.000496
98,2109.25,0.52996,0.33059,0.82634,0.98126,0.9548,0.995,0.87184,0.52631,0.31309,0.92439,0.000397,0.000397,0.000397
99,2135.01,0.49585,0.31195,0.81036,0.98529,0.96218,0.995,0.86583,0.51179,0.30597,0.92112,0.000298,0.000298,0.000298
100,2157.21,0.49881,0.31693,0.80412,0.98297,0.9563,0.995,0.86234,0.50575,0.30272,0.92031,0.000199,0.000199,0.000199
